"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000104814",48.8208534720456,-7.2848376646134,0.584471361467035,-12.4639770994567,1.17368113326612e-35,3.94524529510741e-33,"MAP4K1","2.7.11.1","GO:0000185"
"ENSG00000176971",14.1896248006039,21.5539108204025,1.73142752225794,12.4486359049522,1.42255693712288e-35,4.68618706227018e-33,"FIBIN",NA,"GO:0003674"
"ENSG00000167208",26.9781876529348,-8.75778721605466,0.704127539097679,-12.4377853865474,1.62959625073719e-35,5.26295683252791e-33,"SNX20",NA,"GO:0005515"
"ENSG00000118308",274.456719596372,-9.28755588601206,0.748604045932966,-12.4064997196712,2.40958421512518e-35,7.632358001409e-33,"LRMP",NA,"GO:0000922"
"ENSG00000122122",104.731546390952,-9.94714637892344,0.804527369800392,-12.3639626845652,4.09462990209801e-35,1.27250281353691e-32,"SASH3",NA,"GO:0002639"
"ENSG00000166265",22.7019275551626,22.1207979472621,1.79246742459131,12.3409762675635,5.44911166172251e-35,1.66207996630058e-32,"CYYR1",NA,"GO:0003674"
"ENSG00000075223",477.029375644377,7.83595224332829,0.635790307849806,12.3247431528626,6.66555224837862e-35,1.9961511106008e-32,"SEMA3C",NA,"GO:0001755"
"ENSG00000115414",16985.5307900672,9.81177689918291,0.801189450540611,12.2465128473201,1.75376005578641e-34,5.15824676408177e-32,"FN1",NA,"GO:0001525"
"ENSG00000116285",631.053366934544,5.27307625730776,0.433867952850735,12.1536431134426,5.48651536311652e-34,1.58541043062969e-31,"ERRFI1",NA,"GO:0005096"
"ENSG00000141736",305.529016341271,3.93322125303702,0.325598067987871,12.0799895323197,1.34736882740117e-33,3.82629516484907e-31,"ERBB2","2.7.10.1","GO:0000165"
"ENSG00000006327",1536.05507012232,4.87274237394441,0.403868417088831,12.0651731300708,1.61322758162194e-33,4.50363923676186e-31,"TNFRSF12A",NA,"GO:0001525"
"ENSG00000131737",19.377339435857,22.2603778629824,1.84933895185712,12.0369377612624,2.27235024878e-33,6.23798015794258e-31,"KRT34",NA,"GO:0005198"
"ENSG00000005001",26.6969457190423,21.8376111332975,1.83545844688065,11.8976330793052,1.21751496235947e-32,3.28748999098735e-30,"PRSS22",NA,"GO:0004252"
"ENSG00000189171",1654.77865877141,4.67351684191109,0.395973193936808,11.8026091499944,3.78393869224177e-32,1.00524603548249e-29,"S100A13",NA,"GO:0005507"
"ENSG00000166033",1373.28399280824,9.57710122498392,0.811864775024233,11.7964241331915,4.07252239517104e-32,1.06473835509305e-29,"HTRA1",NA,"GO:0001558"
"ENSG00000221818",29.7373837960103,22.8639585605907,1.93859709294288,11.7940745108011,4.18779095893929e-32,1.07776726382327e-29,"EBF2",NA,"GO:0000978"
"ENSG00000145623",323.408760208696,9.61858081919182,0.817807776658558,11.7614200961648,6.1687903737093e-32,1.56317148069794e-29,"OSMR",NA,"GO:0002675"
"ENSG00000006118",306.279120594004,5.53379285709214,0.471152792629635,11.7452192657216,7.47284245433007e-32,1.86492709189804e-29,"TMEM132A",NA,"GO:0000139"
