"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000108821",2658.36806083611,7.66982239526629,0.72296973009736,10.6087738890996,2.71285596990538e-26,4.43484801179284e-24,"COL1A1",NA,"GO:0001501"
"ENSG00000206418",278.158788654516,1.80814442721578,0.17056738413174,10.6007630733156,2.95558711012043e-26,4.7842841936469e-24,"RAB12",NA,"GO:0000139"
"ENSG00000151491",354.02286173143,4.67456416225879,0.443002417811666,10.5520059808028,4.97239746995894e-26,7.97080142004777e-24,"EPS8",NA,"GO:0003779"
"ENSG00000150938",846.799602266724,4.9641237368454,0.471104398418387,10.5372052426409,5.82028662154936e-26,9.24026465465399e-24,"CRIM1",NA,"GO:0001558"
"ENSG00000198121",417.588558487677,8.58850871291225,0.815368538875259,10.5332844026083,6.06795872472496e-26,9.54172061942227e-24,"LPAR1",NA,"GO:0000187"
"ENSG00000110324",26.5484426100655,-8.56842051340949,0.813806784552071,-10.5288143034168,6.36309078760031e-26,9.91141433906308e-24,"IL10RA",NA,"GO:0004871"
"ENSG00000075884",103.654851303622,-6.21289608315945,0.590685853010945,-10.5181054387709,7.12926795851608e-26,1.10010601180429e-23,"ARHGAP15",NA,"GO:0005096"
"ENSG00000119681",222.281635700723,6.81748823913354,0.648342291345384,10.5152607351689,7.34772848127484e-26,1.12331800883638e-23,"LTBP2",NA,"GO:0005509"
"ENSG00000196935",58.7109733311861,4.28122771242902,0.407774886817202,10.4989979786279,8.73018915741546e-26,1.32242342365217e-23,"SRGAP1",NA,"GO:0005096"
"ENSG00000124104",49.38348605669,4.5470408904422,0.433411301446452,10.4912836265853,9.47325448071144e-26,1.42193549755479e-23,"SNX21",NA,"GO:0005546"
"ENSG00000189171",1532.13853738429,4.09974670027892,0.391192536821298,10.4801250391741,1.06602705525119e-25,1.58569123506778e-23,"S100A13",NA,"GO:0005507"
"ENSG00000183840",41.3466703874536,8.09216697893742,0.773943299025906,10.455762055337,1.37885821215044e-25,2.03144957610033e-23,"GPR39",NA,"GO:0004930"
"ENSG00000176720",130.38217735636,4.94801665819488,0.473268962381117,10.4549781445636,1.39030829204371e-25,2.03144957610033e-23,"BOK",NA,"GO:0001836"
"ENSG00000057019",899.771617696573,4.30021723417635,0.411685669687113,10.4453896523641,1.53822396692475e-25,2.22786104542935e-23,"DCBLD2",NA,"GO:0005515"
"ENSG00000105374",40.8415803224145,-6.81492603905663,0.653960334035111,-10.4210082544406,1.98834030991967e-25,2.8547379875725e-23,"NKG7",NA,"GO:0005515"
"ENSG00000160886",173.684647867124,7.24407410155516,0.697184464515874,10.3904697684069,2.74000214893762e-25,3.90001512768181e-23,"LY6K",NA,"GO:0001669"
"ENSG00000269404",72.5136337193436,-6.43128190392336,0.61907663565676,-10.3885069044814,2.7969720904395e-25,3.94707745173047e-23,"SPIB",NA,"GO:0000980"
"ENSG00000148344",262.260134189793,8.61502826327974,0.830491656615857,10.3734073601472,3.27629719106308e-25,4.58431719674937e-23,"PTGES","5.3.99.3","GO:0001516"
"ENSG00000138463",36.0290320713919,2.36897169139906,0.228394643464038,10.3722734275599,3.31541682632629e-25,4.59068012707536e-23,"DIRC2",NA,"GO:0005765"
"ENSG00000078098",169.156305967415,11.9780965296766,1.15488609823885,10.371669161091,3.3364521546184e-25,4.59068012707536e-23,"FAP",NA,"GO:0001525"
"ENSG00000163430",3126.16746966741,6.32975089411681,0.611815382286452,10.3458511789316,4.37015402250351e-25,5.9632738070707e-23,"FSTL1",NA,"GO:0005509"
"ENSG00000090530",145.75653356332,5.4496064120146,0.526884101907809,10.3430837868935,4.49824892578707e-25,6.08775311587461e-23,"P3H2",NA,"GO:0005506"
"ENSG00000134871",799.001007230511,5.99648417034269,0.5805609008692,10.3287771556178,5.22220604767811e-25,7.01006862221246e-23,"COL4A2",NA,"GO:0001525"
